rodada,data,mandante,visitante,vencedor,mandante_gols,visitante_gols
28,2005-09-25,Figueirense,Athletico-PR,Figueirense,2,0
28,2005-09-25,Ponte Preta,Cruzeiro,Cruzeiro,2,3
28,2005-09-25,Coritiba,Vasco,Coritiba,2,0
28,2005-09-25,Flamengo,Corinthians,Corinthians,1,3
28,2005-09-25,Palmeiras,Goias,Palmeiras,3,1
28,2005-09-25,Fluminense,Santos,Fluminense,4,3
28,2005-09-25,Atletico-MG,Internacional,-,1,1
29,2005-10-01,Parana,Coritiba,Parana,3,2
29,2005-10-01,Goias,Ponte Preta,Goias,4,1
29,2005-10-01,Cruzeiro,Juventude,Cruzeiro,2,0
29,2005-10-01,Paysandu,Figueirense,Paysandu,3,1
29,2005-10-01,Sao Caetano,Atletico-MG,Sao Caetano,3,1
29,2005-10-01,Santos,Fortaleza,-,0,0
29,2005-10-02,Internacional,Fluminense,-,2,2
29,2005-10-02,Vasco,Palmeiras,-,0,0
29,2005-10-02,Corinthians,Brasiliense,Corinthians,3,2
29,2005-10-02,Botafogo-RJ,Sao Paulo,-,1,1
29,2005-10-02,Athletico-PR,Flamengo,Athletico-PR,2,0
30,2005-10-04,Santos,Sao Caetano,Santos,2,0
30,2005-10-04,Ponte Preta,Juventude,Ponte Preta,3,2
30,2005-10-04,Coritiba,Goias,Goias,0,2
30,2005-10-04,Atletico-MG,Parana,Parana,0,1
30,2005-10-05,Figueirense,Botafogo-RJ,Figueirense,1,0
30,2005-10-05,Fortaleza,Athletico-PR,Athletico-PR,1,4
30,2005-10-05,Vasco,Cruzeiro,-,3,3
30,2005-10-05,Palmeiras,Paysandu,Palmeiras,5,3
30,2005-10-05,Brasiliense,Flamengo,Flamengo,2,3
30,2005-10-05,Fluminense,Corinthians,Corinthians,0,2
30,2005-10-05,Internacional,Sao Paulo,Internacional,3,0
31,2005-10-08,Botafogo-RJ,Palmeiras,Palmeiras,1,2
31,2005-10-08,Corinthians,Fortaleza,Corinthians,3,0
31,2005-10-08,Parana,Fluminense,Parana,6,1
31,2005-10-08,Juventude,Santos,Juventude,3,1
31,2005-10-08,Goias,Vasco,Goias,4,3
31,2005-10-08,Cruzeiro,Figueirense,Cruzeiro,4,0
31,2005-10-11,Sao Caetano,Internacional,-,1,1
31,2005-10-11,Sao Paulo,Ponte Preta,Sao Paulo,3,2
31,2005-10-11,Flamengo,Atletico-MG,Atletico-MG,1,2
31,2005-10-11,Athletico-PR,Brasiliense,Athletico-PR,4,0
31,2005-10-11,Paysandu,Coritiba,Paysandu,2,1
18,2005-10-12,Vasco,Figueirense,-,3,3
19,2005-10-12,Cruzeiro,Botafogo-RJ,-,2,2
20,2005-10-12,Juventude,Fluminense,Fluminense,3,4
16,2005-10-13,Santos,Corinthians,Corinthians,2,3
32,2005-10-15,Fluminense,Botafogo-RJ,Fluminense,3,2
32,2005-10-15,Fortaleza,Paysandu,Paysandu,1,2
32,2005-10-15,Brasiliense,Juventude,Brasiliense,1,0
32,2005-10-15,Figueirense,Parana,Figueirense,2,0
32,2005-10-15,Coritiba,Athletico-PR,Athletico-PR,1,2
32,2005-10-16,Internacional,Vasco,Internacional,3,1
32,2005-10-16,Palmeiras,Corinthians,-,1,1
32,2005-10-16,Atletico-MG,Cruzeiro,Cruzeiro,0,1
32,2005-10-16,Flamengo,Sao Paulo,Sao Paulo,1,6
32,2005-10-16,Santos,Goias,-,1,1
32,2005-10-16,Ponte Preta,Sao Caetano,Sao Caetano,1,2
3,2005-10-19,Vasco,Botafogo-RJ,Vasco,1,0
10,2005-10-19,Ponte Preta,Sao Paulo,Ponte Preta,2,0
12,2005-10-19,Paysandu,Cruzeiro,Paysandu,4,1
14,2005-10-19,Juventude,Figueirense,-,2,2
33,2005-10-21,Brasiliense,Goias,Goias,1,2
33,2005-10-21,Sao Caetano,Fluminense,-,2,2
33,2005-10-22,Vasco,Flamengo,Vasco,2,1
33,2005-10-22,Corinthians,Parana,Corinthians,1,0
33,2005-10-22,Fortaleza,Palmeiras,-,1,1
33,2005-10-22,Athletico-PR,Atletico-MG,Athletico-PR,2,0
33,2005-10-22,Juventude,Internacional,Juventude,2,1
33,2005-10-22,Cruzeiro,Paysandu,Cruzeiro,4,3
33,2005-10-22,Figueirense,Ponte Preta,Figueirense,4,0
33,2005-10-22,Botafogo-RJ,Coritiba,Botafogo-RJ,2,0
33,2005-10-22,Sao Paulo,Santos,Santos,1,2
24,2005-10-24,Sao Paulo,Corinthians,-,1,1
25,2005-10-24,Fluminense,Brasiliense,-,1,1
34,2005-10-25,Coritiba,Cruzeiro,Cruzeiro,0,3
34,2005-10-25,Goias,Internacional,Internacional,0,1
34,2005-10-26,Atletico-MG,Fortaleza,Fortaleza,2,3
34,2005-10-26,Palmeiras,Figueirense,-,2,2
34,2005-10-26,Vasco,Santos,Santos,1,3
34,2005-10-26,Juventude,Flamengo,-,2,2
34,2005-10-27,Sao Paulo,Brasiliense,Brasiliense,1,2
34,2005-10-27,Fluminense,Athletico-PR,Fluminense,4,1
34,2005-10-27,Paysandu,Corinthians,Corinthians,0,2
34,2005-10-27,Ponte Preta,Botafogo-RJ,Botafogo-RJ,0,1
21,2005-10-28,Internacional,Coritiba,Internacional,3,2
34,2005-10-28,Parana,Sao Caetano,Sao Caetano,1,3
35,2005-10-29,Figueirense,Juventude,Figueirense,4,3
35,2005-10-29,Fortaleza,Goias,-,1,1
35,2005-10-30,Atletico-MG,Palmeiras,Palmeiras,1,3
35,2005-10-30,Santos,Cruzeiro,Cruzeiro,1,2
35,2005-10-30,Athletico-PR,Parana,Athletico-PR,2,1
35,2005-10-30,Corinthians,Vasco,-,1,1
35,2005-10-30,Sao Caetano,Sao Paulo,Sao Paulo,0,1
35,2005-10-30,Fluminense,Ponte Preta,Fluminense,4,3
35,2005-10-30,Brasiliense,Botafogo-RJ,-,0,0
35,2005-10-31,Internacional,Paysandu,Internacional,1,0
35,2005-10-31,Flamengo,Coritiba,Flamengo,2,1
36,2005-11-02,Sao Paulo,Atletico-MG,-,2,2
36,2005-11-02,Juventude,Fortaleza,Juventude,2,0
36,2005-11-02,Ponte Preta,Santos,Ponte Preta,2,1
36,2005-11-02,Cruzeiro,Corinthians,Cruzeiro,2,1
36,2005-11-02,Goias,Fluminense,Fluminense,1,2
36,2005-11-03,Coritiba,Figueirense,Coritiba,4,1
36,2005-11-03,Palmeiras,Flamengo,Flamengo,0,1
36,2005-11-03,Vasco,Athletico-PR,Vasco,2,1
36,2005-11-03,Botafogo-RJ,Sao Caetano,Botafogo-RJ,1,0
36,2005-11-03,Parana,Internacional,Parana,3,1
36,2005-11-03,Paysandu,Brasiliense,Paysandu,2,1
37,2005-11-05,Sao Paulo,Juventude,Sao Paulo,3,1
37,2005-11-05,Fortaleza,Cruzeiro,Fortaleza,3,1
37,2005-11-06,Flamengo,Botafogo-RJ,Flamengo,3,1
37,2005-11-06,Sao Caetano,Vasco,Vasco,1,2
37,2005-11-06,Corinthians,Santos,Corinthians,7,1
37,2005-11-06,Internacional,Ponte Preta,Internacional,2,1
37,2005-11-06,Parana,Paysandu,Parana,2,0
37,2005-11-06,Atletico-MG,Goias,Goias,1,2
37,2005-11-06,Fluminense,Figueirense,Fluminense,2,0
37,2005-11-06,Athletico-PR,Palmeiras,Athletico-PR,4,0
37,2005-11-06,Brasiliense,Coritiba,-,1,1
38,2005-11-12,Palmeiras,Sao Paulo,Palmeiras,2,1
38,2005-11-12,Botafogo-RJ,Parana,Botafogo-RJ,2,0
38,2005-11-12,Paysandu,Atletico-MG,Atletico-MG,0,2
38,2005-11-12,Figueirense,Fortaleza,Figueirense,1,0
38,2005-11-13,Goias,Athletico-PR,Goias,4,2
38,2005-11-13,Ponte Preta,Flamengo,-,2,2
38,2005-11-13,Coritiba,Corinthians,Corinthians,0,1
38,2005-11-13,Vasco,Fluminense,Vasco,2,0
38,2005-11-13,Cruzeiro,Brasiliense,Cruzeiro,1,0
38,2005-11-13,Juventude,Sao Caetano,Juventude,3,1
38,2005-11-13,Santos,Internacional,Internacional,0,4
39,2005-11-16,Palmeiras,Juventude,Palmeiras,3,2
39,2005-11-16,Flamengo,Fortaleza,Flamengo,3,0
39,2005-11-16,Goias,Sao Paulo,Goias,3,0
39,2005-11-16,Internacional,Brasiliense,Internacional,1,0
39,2005-11-16,Sao Caetano,Corinthians,Sao Caetano,1,0
39,2005-11-16,Santos,Parana,-,0,0
39,2005-11-16,Figueirense,Vasco,Figueirense,5,1
39,2005-11-17,Paysandu,Botafogo-RJ,Paysandu,2,0
39,2005-11-17,Coritiba,Ponte Preta,Coritiba,2,1
39,2005-11-17,Cruzeiro,Athletico-PR,Athletico-PR,1,2
39,2005-11-17,Fluminense,Atletico-MG,Atletico-MG,0,2
40,2005-11-19,Sao Paulo,Figueirense,Sao Paulo,4,2
40,2005-11-19,Juventude,Goias,Juventude,2,1
40,2005-11-19,Brasiliense,Santos,Brasiliense,1,0
40,2005-11-20,Parana,Flamengo,Flamengo,0,1
40,2005-11-20,Corinthians,Internacional,-,1,1
40,2005-11-20,Athletico-PR,Sao Caetano,-,2,2
40,2005-11-20,Vasco,Paysandu,Vasco,4,0
40,2005-11-20,Atletico-MG,Coritiba,Atletico-MG,1,0
40,2005-11-20,Fortaleza,Fluminense,Fortaleza,5,1
40,2005-11-20,Ponte Preta,Palmeiras,Palmeiras,2,6
40,2005-11-20,Botafogo-RJ,Cruzeiro,Botafogo-RJ,2,1
41,2005-11-27,Atletico-MG,Vasco,-,0,0
41,2005-11-27,Brasiliense,Figueirense,Figueirense,0,2
41,2005-11-27,Athletico-PR,Paysandu,Athletico-PR,3,2
41,2005-11-27,Sao Caetano,Coritiba,-,1,1
41,2005-11-27,Internacional,Palmeiras,Internacional,2,1
41,2005-11-27,Parana,Cruzeiro,Parana,2,0
41,2005-11-27,Fluminense,Juventude,Juventude,1,2
41,2005-11-27,Corinthians,Ponte Preta,Corinthians,3,1
41,2005-11-27,Fortaleza,Sao Paulo,Fortaleza,1,0
41,2005-11-27,Flamengo,Goias,-,0,0
41,2005-11-27,Santos,Botafogo-RJ,Santos,2,1
42,2005-12-04,Sao Paulo,Athletico-PR,Sao Paulo,3,1
42,2005-12-04,Paysandu,Flamengo,Flamengo,1,4
42,2005-12-04,Figueirense,Santos,Figueirense,3,1
42,2005-12-04,Ponte Preta,Brasiliense,Ponte Preta,3,1
42,2005-12-04,Vasco,Parana,Vasco,3,1
42,2005-12-04,Coritiba,Internacional,Coritiba,1,0
42,2005-12-04,Palmeiras,Fluminense,Palmeiras,3,2
42,2005-12-04,Juventude,Atletico-MG,Atletico-MG,1,3
42,2005-12-04,Cruzeiro,Sao Caetano,Sao Caetano,1,3
42,2005-12-04,Botafogo-RJ,Fortaleza,Botafogo-RJ,2,0
42,2005-12-04,Goias,Corinthians,Goias,3,2
1,2006-04-15,Juventude,Parana,Juventude,1,0
1,2006-04-15,Vasco,Internacional,-,1,1
1,2006-04-16,Sao Paulo,Flamengo,Sao Paulo,1,0
1,2006-04-16,Gremio,Corinthians,Gremio,2,0
1,2006-04-16,Botafogo-RJ,Fortaleza,Botafogo-RJ,1,0
1,2006-04-16,Sao Caetano,Cruzeiro,Sao Caetano,2,1
1,2006-04-16,Palmeiras,Ponte Preta,Ponte Preta,2,3
1,2006-04-16,Santa Cruz,Figueirense,-,0,0
1,2006-04-16,Athletico-PR,Fluminense,Fluminense,1,2
1,2006-04-16,Goias,Santos,-,0,0
2,2006-04-22,Corinthians,Sao Caetano,Corinthians,3,0
2,2006-04-22,Fluminense,Goias,Fluminense,1,0
2,2006-04-22,Figueirense,Palmeiras,Figueirense,6,1
2,2006-04-23,Internacional,Santa Cruz,Internacional,1,0
2,2006-04-23,Santos,Athletico-PR,Santos,2,0
2,2006-04-23,Ponte Preta,Vasco,Vasco,1,2
2,2006-04-23,Flamengo,Juventude,Flamengo,3,1
2,2006-04-23,Cruzeiro,Gremio,Cruzeiro,3,1
2,2006-04-23,Parana,Botafogo-RJ,-,0,0
2,2006-04-23,Fortaleza,Sao Paulo,Fortaleza,1,0
3,2006-04-29,Fortaleza,Sao Caetano,Fortaleza,2,1
3,2006-04-29,Botafogo-RJ,Athletico-PR,Athletico-PR,0,4
3,2006-04-29,Sao Paulo,Santa Cruz,Sao Paulo,4,0
3,2006-04-30,Ponte Preta,Corinthians,Ponte Preta,3,2
3,2006-04-30,Internacional,Flamengo,Internacional,1,0
3,2006-04-30,Parana,Gremio,Parana,5,2
3,2006-04-30,Palmeiras,Santos,Santos,1,2
3,2006-04-30,Vasco,Fluminense,-,1,1
3,2006-04-30,Juventude,Goias,-,1,1
3,2006-04-30,Figueirense,Cruzeiro,Cruzeiro,0,2
4,2006-05-06,Santa Cruz,Ponte Preta,-,1,1
4,2006-05-06,Fluminense,Parana,Fluminense,2,1
4,2006-05-06,Santos,Fortaleza,Santos,2,0
4,2006-05-07,Gremio,Vasco,Vasco,1,2
4,2006-05-07,Sao Caetano,Palmeiras,Sao Caetano,2,0
4,2006-05-07,Athletico-PR,Internacional,Internacional,1,2
4,2006-05-07,Corinthians,Sao Paulo,Sao Paulo,1,3
4,2006-05-07,Flamengo,Botafogo-RJ,Flamengo,1,0
4,2006-05-07,Goias,Figueirense,Goias,2,1
4,2006-05-07,Cruzeiro,Juventude,Cruzeiro,2,0
5,2006-05-13,Sao Caetano,Juventude,Juventude,0,2
5,2006-05-13,Botafogo-RJ,Gremio,-,2,2
5,2006-05-13,Santos,Ponte Preta,Santos,3,1
5,2006-05-14,Santa Cruz,Athletico-PR,Athletico-PR,1,2
5,2006-05-14,Internacional,Sao Paulo,Internacional,3,1
5,2006-05-14,Figueirense,Fluminense,Figueirense,1,0
5,2006-05-14,Palmeiras,Cruzeiro,-,1,1
5,2006-05-14,Flamengo,Fortaleza,-,0,0
5,2006-05-14,Parana,Corinthians,Corinthians,1,2
5,2006-05-14,Goias,Vasco,Goias,2,0
6,2006-05-20,Athletico-PR,Goias,Goias,2,3
6,2006-05-20,Fortaleza,Parana,-,1,1
6,2006-05-20,Internacional,Figueirense,Figueirense,2,4
6,2006-05-20,Sao Paulo,Sao Caetano,Sao Paulo,1,0
6,2006-05-21,Palmeiras,Santa Cruz,Palmeiras,2,1
6,2006-05-21,Cruzeiro,Flamengo,Cruzeiro,2,1
6,2006-05-21,Vasco,Corinthians,Corinthians,2,4
6,2006-05-21,Ponte Preta,Gremio,-,1,1
6,2006-05-21,Fluminense,Santos,Fluminense,1,0
6,2006-05-21,Juventude,Botafogo-RJ,Juventude,1,0
7,2006-05-24,Cruzeiro,Ponte Preta,Cruzeiro,5,1
7,2006-05-24,Parana,Figueirense,-,0,0
7,2006-05-24,Juventude,Santa Cruz,Juventude,4,1
7,2006-05-24,Sao Paulo,Palmeiras,Sao Paulo,4,1
7,2006-05-24,Sao Caetano,Athletico-PR,Sao Caetano,2,1
7,2006-05-24,Fortaleza,Fluminense,Fluminense,2,5
7,2006-05-24,Flamengo,Santos,-,2,2
7,2006-05-25,Botafogo-RJ,Vasco,Botafogo-RJ,4,1
7,2006-05-25,Gremio,Goias,Gremio,2,0
7,2006-05-25,Corinthians,Internacional,Internacional,0,1
8,2006-05-27,Athletico-PR,Juventude,Athletico-PR,1,0
8,2006-05-27,Figueirense,Fortaleza,-,0,0
8,2006-05-27,Ponte Preta,Parana,Parana,2,5
8,2006-05-28,Santos,Corinthians,Santos,2,0
8,2006-05-28,Internacional,Cruzeiro,-,1,1
8,2006-05-28,Santa Cruz,Botafogo-RJ,-,1,1
8,2006-05-28,Fluminense,Flamengo,Fluminense,1,0
8,2006-05-28,Palmeiras,Gremio,Gremio,0,1
8,2006-05-28,Goias,Sao Caetano,Goias,2,1
8,2006-05-28,Vasco,Sao Paulo,-,1,1
9,2006-05-31,Cruzeiro,Athletico-PR,-,1,1
9,2006-05-31,Fortaleza,Vasco,-,1,1
9,2006-05-31,Juventude,Ponte Preta,Ponte Preta,0,1
9,2006-05-31,Sao Caetano,Internacional,-,1,1
9,2006-05-31,Sao Paulo,Fluminense,Sao Paulo,1,0
9,2006-05-31,Gremio,Santos,Gremio,1,0
9,2006-05-31,Flamengo,Palmeiras,Flamengo,2,1
9,2006-06-01,Botafogo-RJ,Figueirense,Figueirense,2,3
9,2006-06-01,Parana,Santa Cruz,Parana,3,0
9,2006-06-01,Corinthians,Goias,Goias,0,1
10,2006-06-03,Fluminense,Internacional,Internacional,2,3
10,2006-06-03,Fortaleza,Cruzeiro,Cruzeiro,0,2
10,2006-06-03,Gremio,Sao Caetano,-,1,1
10,2006-06-04,Corinthians,Flamengo,Flamengo,0,2
10,2006-06-04,Vasco,Santa Cruz,Vasco,2,1
10,2006-06-04,Ponte Preta,Figueirense,Ponte Preta,3,0
10,2006-06-04,Athletico-PR,Palmeiras,Athletico-PR,2,0
10,2006-06-04,Goias,Parana,Parana,1,2
10,2006-06-04,Juventude,Sao Paulo,-,1,1
10,2006-06-04,Santos,Botafogo-RJ,-,0,0
11,2006-07-12,Internacional,Ponte Preta,Internacional,2,0
11,2006-07-12,Athletico-PR,Fortaleza,-,0,0
11,2006-07-12,Fluminense,Juventude,Fluminense,3,2
11,2006-07-12,Sao Paulo,Gremio,Sao Paulo,2,1
11,2006-07-12,Figueirense,Santos,Figueirense,2,1
11,2006-07-12,Sao Caetano,Botafogo-RJ,-,1,1
11,2006-07-12,Cruzeiro,Corinthians,Cruzeiro,2,0
11,2006-07-13,Santa Cruz,Goias,Santa Cruz,2,1
11,2006-07-13,Flamengo,Parana,Parana,1,4
11,2006-07-13,Palmeiras,Vasco,Palmeiras,4,2
12,2006-07-15,Botafogo-RJ,Ponte Preta,Botafogo-RJ,4,1
12,2006-07-15,Sao Paulo,Figueirense,Sao Paulo,2,1
12,2006-07-16,Gremio,Fluminense,-,4,4
12,2006-07-16,Palmeiras,Corinthians,Palmeiras,1,0
12,2006-07-16,Sao Caetano,Santos,Sao Caetano,2,0
12,2006-07-16,Cruzeiro,Goias,-,0,0
12,2006-07-16,Fortaleza,Santa Cruz,Santa Cruz,1,4
12,2006-07-16,Parana,Athletico-PR,Parana,2,1
12,2006-07-16,Juventude,Internacional,Juventude,2,0
12,2006-07-16,Flamengo,Vasco,Vasco,0,1
13,2006-07-22,Figueirense,Gremio,Figueirense,2,0
13,2006-07-22,Parana,Cruzeiro,Parana,1,0
13,2006-07-22,Corinthians,Fortaleza,-,2,2
13,2006-07-22,Fluminense,Sao Caetano,-,2,2
13,2006-07-23,Ponte Preta,Sao Paulo,Sao Paulo,1,3
13,2006-07-23,Vasco,Athletico-PR,Vasco,2,1
13,2006-07-23,Santa Cruz,Flamengo,Santa Cruz,3,0
13,2006-07-23,Santos,Juventude,Santos,3,2
13,2006-07-23,Internacional,Botafogo-RJ,-,0,0
13,2006-07-23,Goias,Palmeiras,Palmeiras,1,3
14,2006-07-29,Juventude,Figueirense,Juventude,1,0
14,2006-07-29,Sao Caetano,Ponte Preta,-,1,1
14,2006-07-29,Palmeiras,Parana,Palmeiras,4,2
14,2006-07-30,Sao Paulo,Santos,Santos,0,4
14,2006-07-30,Santa Cruz,Corinthians,Santa Cruz,1,0
14,2006-07-30,Vasco,Cruzeiro,Vasco,1,0
14,2006-07-30,Athletico-PR,Flamengo,Athletico-PR,1,0
14,2006-07-30,Goias,Fortaleza,-,1,1
14,2006-07-30,Internacional,Gremio,-,0,0
14,2006-07-30,Fluminense,Botafogo-RJ,-,1,1
15,2006-08-05,Figueirense,Sao Caetano,-,1,1
15,2006-08-05,Gremio,Juventude,Gremio,1,0
15,2006-08-05,Corinthians,Athletico-PR,Corinthians,2,1
15,2006-08-05,Flamengo,Goias,Flamengo,1,0
15,2006-08-06,Santos,Internacional,Santos,2,1
15,2006-08-06,Botafogo-RJ,Sao Paulo,-,1,1
15,2006-08-06,Parana,Vasco,Parana,2,1
15,2006-08-06,Ponte Preta,Fluminense,Ponte Preta,3,0
15,2006-08-06,Cruzeiro,Santa Cruz,-,3,3
15,2006-08-06,Fortaleza,Palmeiras,-,0,0
16,2006-08-12,Juventude,Vasco,-,0,0
16,2006-08-12,Sao Caetano,Santa Cruz,Sao Caetano,2,0
16,2006-08-12,Corinthians,Figueirense,Figueirense,1,3
16,2006-08-12,Flamengo,Ponte Preta,-,0,0
16,2006-08-13,Botafogo-RJ,Palmeiras,Palmeiras,1,3
16,2006-08-13,Gremio,Athletico-PR,Gremio,2,0
16,2006-08-13,Cruzeiro,Fluminense,Fluminense,2,3
16,2006-08-13,Fortaleza,Internacional,Internacional,1,2
16,2006-08-13,Sao Paulo,Goias,Sao Paulo,2,1
16,2006-08-13,Parana,Santos,-,1,1
17,2006-08-16,Ponte Preta,Fortaleza,Fortaleza,1,3
17,2006-08-16,Santa Cruz,Gremio,Gremio,2,4
17,2006-08-16,Vasco,Sao Caetano,Sao Caetano,1,2
17,2006-08-16,Goias,Botafogo-RJ,-,2,2
17,2006-08-16,Figueirense,Flamengo,-,1,1
17,2006-08-16,Fluminense,Corinthians,Corinthians,1,2
17,2006-08-17,Santos,Cruzeiro,Santos,2,0
17,2006-08-17,Palmeiras,Juventude,-,1,1
18,2006-08-19,Ponte Preta,Goias,Ponte Preta,3,2
18,2006-08-19,Flamengo,Gremio,Flamengo,1,0
18,2006-08-20,Fluminense,Santa Cruz,-,1,1
18,2006-08-20,Santos,Vasco,Vasco,0,2
18,2006-08-20,Fortaleza,Juventude,Fortaleza,4,1
18,2006-08-20,Cruzeiro,Sao Paulo,-,2,2
18,2006-08-20,Figueirense,Athletico-PR,-,3,3
18,2006-08-20,Parana,Sao Caetano,Parana,1,0
18,2006-08-20,Internacional,Palmeiras,-,1,1
18,2006-08-20,Corinthians,Botafogo-RJ,Corinthians,1,0
19,2006-08-23,Athletico-PR,Ponte Preta,Athletico-PR,3,0
19,2006-08-23,Goias,Internacional,-,2,2
19,2006-08-23,Palmeiras,Fluminense,Palmeiras,3,0
19,2006-08-23,Botafogo-RJ,Cruzeiro,Botafogo-RJ,1,0
19,2006-08-23,Santa Cruz,Santos,-,1,1
19,2006-08-23,Juventude,Corinthians,-,0,0
19,2006-08-23,Sao Caetano,Flamengo,-,2,2
19,2006-08-24,Gremio,Fortaleza,Gremio,4,1
19,2006-08-24,Sao Paulo,Parana,Sao Paulo,3,2
19,2006-08-24,Vasco,Figueirense,Vasco,3,1
20,2006-08-26,Fluminense,Athletico-PR,Athletico-PR,1,2
20,2006-08-26,Santos,Goias,Santos,2,1
20,2006-08-26,Cruzeiro,Sao Caetano,Cruzeiro,3,0
20,2006-08-27,Flamengo,Sao Paulo,-,1,1
20,2006-08-27,Corinthians,Gremio,Gremio,0,2
20,2006-08-27,Internacional,Vasco,Vasco,1,2
20,2006-08-27,Parana,Juventude,Juventude,0,1
20,2006-08-27,Ponte Preta,Palmeiras,-,1,1
20,2006-08-27,Figueirense,Santa Cruz,Figueirense,2,0
20,2006-08-27,Fortaleza,Botafogo-RJ,Botafogo-RJ,2,3
21,2006-08-30,Gremio,Cruzeiro,Gremio,2,1
21,2006-08-30,Goias,Fluminense,Goias,3,1
21,2006-08-30,Santa Cruz,Internacional,Internacional,0,2
21,2006-08-30,Palmeiras,Figueirense,-,1,1
21,2006-08-30,Juventude,Flamengo,Juventude,1,0
21,2006-08-30,Sao Caetano,Corinthians,Corinthians,0,1
21,2006-08-30,Athletico-PR,Santos,Athletico-PR,2,1
21,2006-08-31,Botafogo-RJ,Parana,Botafogo-RJ,4,0
21,2006-08-31,Sao Paulo,Fortaleza,-,1,1
21,2006-08-31,Vasco,Ponte Preta,-,2,2
22,2006-09-02,Cruzeiro,Figueirense,-,2,2
22,2006-09-02,Flamengo,Internacional,Internacional,1,2
22,2006-09-03,Santos,Palmeiras,Santos,5,1
22,2006-09-03,Gremio,Parana,Gremio,2,1
22,2006-09-03,Sao Caetano,Fortaleza,-,0,0
22,2006-09-03,Athletico-PR,Botafogo-RJ,Botafogo-RJ,0,5
22,2006-09-03,Goias,Juventude,Goias,2,0
22,2006-09-03,Fluminense,Vasco,-,1,1
22,2006-09-03,Santa Cruz,Sao Paulo,Sao Paulo,1,3
22,2006-09-03,Corinthians,Ponte Preta,Corinthians,1,0
23,2006-09-09,Ponte Preta,Santa Cruz,Ponte Preta,2,0
23,2006-09-09,Vasco,Gremio,-,1,1
23,2006-09-09,Palmeiras,Sao Caetano,Palmeiras,3,1
23,2006-09-10,Juventude,Cruzeiro,Juventude,2,0
23,2006-09-10,Sao Paulo,Corinthians,-,0,0
23,2006-09-10,Parana,Fluminense,Parana,1,0
23,2006-09-10,Figueirense,Goias,-,2,2
23,2006-09-10,Internacional,Athletico-PR,Internacional,2,0
23,2006-09-10,Botafogo-RJ,Flamengo,Flamengo,0,2
23,2006-09-10,Fortaleza,Santos,-,1,1
24,2006-09-16,Athletico-PR,Santa Cruz,Athletico-PR,2,1
24,2006-09-16,Vasco,Goias,-,0,0
24,2006-09-16,Corinthians,Parana,Corinthians,1,0
24,2006-09-17,Cruzeiro,Palmeiras,Cruzeiro,1,0
24,2006-09-17,Sao Paulo,Internacional,Sao Paulo,2,0
24,2006-09-17,Gremio,Botafogo-RJ,Gremio,4,0
24,2006-09-17,Juventude,Sao Caetano,Juventude,1,0
24,2006-09-17,Fluminense,Figueirense,Fluminense,2,0
24,2006-09-17,Ponte Preta,Santos,Ponte Preta,1,0
24,2006-09-17,Fortaleza,Flamengo,Flamengo,3,4
25,2006-09-20,Gremio,Ponte Preta,Gremio,4,0
25,2006-09-20,Figueirense,Internacional,Figueirense,1,0
25,2006-09-20,Botafogo-RJ,Juventude,Botafogo-RJ,2,1
25,2006-09-20,Parana,Fortaleza,Parana,2,0
25,2006-09-20,Goias,Athletico-PR,-,2,2
25,2006-09-20,Santos,Fluminense,-,1,1
25,2006-09-20,Sao Caetano,Sao Paulo,Sao Paulo,0,1
25,2006-09-20,Corinthians,Vasco,-,1,1
25,2006-09-21,Flamengo,Cruzeiro,Flamengo,1,0
25,2006-09-21,Santa Cruz,Palmeiras,Santa Cruz,3,2
26,2006-09-23,Fluminense,Fortaleza,Fortaleza,1,3
26,2006-09-23,Athletico-PR,Sao Caetano,Athletico-PR,3,1
26,2006-09-24,Santos,Flamengo,Santos,3,0
26,2006-09-24,Palmeiras,Sao Paulo,Palmeiras,3,1
26,2006-09-24,Figueirense,Parana,Parana,0,1
26,2006-09-24,Internacional,Corinthians,-,1,1
26,2006-09-24,Santa Cruz,Juventude,Santa Cruz,1,0
26,2006-09-24,Ponte Preta,Cruzeiro,Cruzeiro,0,1
26,2006-09-24,Vasco,Botafogo-RJ,-,0,0
26,2006-09-24,Goias,Gremio,Goias,4,0
17,2006-09-30,Internacional,Parana,Internacional,3,2
17,2006-09-30,Athletico-PR,Sao Paulo,-,0,0
27,2006-10-04,Fortaleza,Figueirense,-,1,1
27,2006-10-04,Juventude,Athletico-PR,Juventude,3,2
27,2006-10-04,Parana,Ponte Preta,Parana,2,1
27,2006-10-04,Flamengo,Fluminense,Flamengo,4,1
27,2006-10-04,Gremio,Palmeiras,Gremio,2,1
27,2006-10-04,Sao Caetano,Goias,Goias,1,2
27,2006-10-04,Sao Paulo,Vasco,Sao Paulo,5,1
27,2006-10-05,Botafogo-RJ,Santa Cruz,Botafogo-RJ,3,0
27,2006-10-05,Corinthians,Santos,Santos,0,3
27,2006-10-05,Cruzeiro,Internacional,Cruzeiro,2,1
28,2006-10-07,Ponte Preta,Juventude,Ponte Preta,3,1
28,2006-10-07,Vasco,Fortaleza,Vasco,2,0
28,2006-10-07,Fluminense,Sao Paulo,Sao Paulo,1,2
28,2006-10-08,Palmeiras,Flamengo,Palmeiras,3,1
28,2006-10-08,Santa Cruz,Parana,Parana,1,3
28,2006-10-08,Athletico-PR,Cruzeiro,-,1,1
